EBELN,BUKRS,WERKS,LIFNR,NAME1,MATNR,TXZ01,MENGE,MEINS,NETWR,WAERS,BEDAT
4500001234,1000,1001,80000012,EcoEnergy Solutions GmbH,MAT-7890,Solar Panel 400W Monocrystalline,50,EA,9000.00,EUR,20260501
4500001235,1000,1001,SL-9000,GreenLogistics Inc.,FRT-TRK-DEL,Freight: Truck Delivery,5,SHIPMENT,2500.00,EUR,20260503
4500001236,1000,2001,FU-002,HydroFuel GmbH,FUEL-DIESEL-A,Diesel Fuel Grade A,2000,L,4500.00,EUR,20260505
4500001237,1000,1001,OIL-001,OilServ Energy Ltd,FUEL-HFO-70,Heavy Fuel Oil (HFO-70),5,MT,8750.00,EUR,20260508
4500001238,1000,3001,PEL-005,Premium Electronics Co.,PET-RESIN,Virgin PET Resin,500,KG,3200.00,USD,20260510
4500001239,1000,1001,PCK-012,Packaging Partners,CARDBOX-A4,Corrugated Box A4 Size,10000,PC,2100.00,EUR,20260512
4500001240,1000,2001,WTR-098,Water Corp Services,TREAT-CHEM,Water Treatment Chemicals,100,L,1500.00,EUR,20260515
4500001241,1000,3001,MET-045,Metals Plus Limited,STEEL-SS304,Stainless Steel 304 Coil,2,MT,12000.00,USD,20260518
4500001242,1000,1001,GAS-078,Global Gas Supply,NAT-GAS-CY,Natural Gas (cylinder),50,CY,750.00,EUR,20260520
4500001243,1000,2001,PLT-089,Plastics Ltd,LDPE-FILM,LDPE Stretch Film,200,KG,1800.00,EUR,20260522   
